"barcode"	"date"	"template"
"1000001"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000002"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000003"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000004"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000005"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000006"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000007"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000008"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000009"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000010"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000011"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000012"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000013"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000014"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000015"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000016"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000017"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000018"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000019"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000020"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000021"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000022"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000023"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000024"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000025"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000026"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000027"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000028"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000029"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000030"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000031"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000032"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000033"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000034"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000035"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000036"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000037"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000038"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000039"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000040"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000041"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000042"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000043"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000044"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000045"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000046"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000047"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000048"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000049"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000050"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000051"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000052"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000053"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000054"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000055"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000056"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000057"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000058"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000059"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000060"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000061"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000062"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000063"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000064"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000065"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000066"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000067"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000068"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000069"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000070"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000071"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000072"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000073"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000074"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000075"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000076"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000077"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000078"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000079"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000080"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000081"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000082"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000083"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000084"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000085"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000086"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000087"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000088"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000089"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000090"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000091"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000092"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000093"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000094"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000095"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000096"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000097"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000098"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000099"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000100"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000101"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000102"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000103"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000104"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000105"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000106"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000107"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000108"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000109"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000110"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000111"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000112"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000113"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000114"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000115"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000116"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000117"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000118"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000119"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000120"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000121"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000122"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
"1000123"	"Tue Feb 23 14:08:25 2021"	"SW_tube_dot_label_v2.zpl"
